loan_type,loan_purpose,business_or_commercial,loan_amount,rate_of_interest,term,income,age,Status
Business Loan,Other,Business,236500,3.99,360.0,3120.0,35-44,1
Personal Loan,Other,Personal,866500,3.99,360.0,13620.0,35-44,1
Personal Loan,Other,Personal,416500,3.625,360.0,7380.0,45-54,0
Business Loan,Business Expansion,Business,436500,3.25,360.0,4920.0,55-64,0
Personal Loan,Business Expansion,Personal,356500,4.125,360.0,3720.0,55-64,0
Mortgage Loan,Other,Personal,386500,2.75,360.0,5760.0,45-54,0
Personal Loan,Home Purchase,Personal,596500,3.875,360.0,6780.0,25-34,0
Personal Loan,Business Expansion,Personal,196500,4.125,312.0,9060.0,25-34,0
Personal Loan,Other,Personal,206500,2.99,180.0,9600.0,65-74,0
Mortgage Loan,Business Expansion,Personal,136500,3.99,360.0,3360.0,65-74,1
Personal Loan,Business Expansion,Personal,166500,3.99,360.0,4560.0,65-74,1
Personal Loan,Home Purchase,Personal,606500,3.625,360.0,22500.0,35-44,0
Business Loan,Other,Business,86500,3.99,360.0,3300.0,55-64,1
Personal Loan,Education,Personal,116500,3.99,180.0,4140.0,45-54,1
Personal Loan,Business Expansion,Personal,426500,3.5,180.0,6000.0,45-54,0
Personal Loan,Business Expansion,Personal,166500,3.99,144.0,6600.0,35-44,0
Personal Loan,Business Expansion,Personal,426500,3.375,180.0,11340.0,35-44,0
Personal Loan,Other,Personal,376500,4.5,360.0,7080.0,65-74,0
Business Loan,Home Purchase,Business,286500,3.25,360.0,4800.0,35-44,0
Personal Loan,Other,Personal,706500,4.125,360.0,8520.0,35-44,0
Business Loan,Other,Business,146500,4.75,360.0,2760.0,<25,0
Personal Loan,Business Expansion,Personal,446500,3.875,240.0,7140.0,55-64,0
Personal Loan,Other,Personal,286500,3.875,360.0,5820.0,55-64,0
Mortgage Loan,Business Expansion,Personal,166500,3.99,360.0,2100.0,65-74,1
Business Loan,Other,Business,636500,3.99,360.0,12000.0,65-74,1
Business Loan,Business Expansion,Business,226500,3.625,360.0,3720.0,25-34,0
Personal Loan,Business Expansion,Personal,316500,4.5,360.0,5880.0,65-74,0
Personal Loan,Business Expansion,Personal,156500,3.99,360.0,3300.0,>74,0
Personal Loan,Home Purchase,Personal,706500,4.875,360.0,8400.0,35-44,0
Personal Loan,Business Expansion,Personal,196500,4.25,240.0,5520.0,65-74,0
Mortgage Loan,Home Purchase,Personal,166500,4.5,360.0,2040.0,65-74,0
Personal Loan,Other,Personal,486500,3.875,360.0,8580.0,45-54,0
Personal Loan,Home Purchase,Personal,406500,4.375,360.0,10740.0,45-54,0
Personal Loan,Other,Personal,146500,3.99,360.0,2400.0,35-44,1
Personal Loan,Home Purchase,Personal,306500,4.875,360.0,12600.0,35-44,0
Personal Loan,Other,Personal,266500,3.875,300.0,5040.0,35-44,0
Personal Loan,Other,Personal,436500,3.5,240.0,7860.0,35-44,0
Personal Loan,Other,Personal,446500,3.375,360.0,5700.0,55-64,0
Business Loan,Home Purchase,Business,216500,3.5,360.0,2580.0,55-64,0
Personal Loan,Home Purchase,Personal,476500,3.99,360.0,15180.0,45-54,0
Personal Loan,Other,Personal,466500,3.625,360.0,8700.0,55-64,0
Personal Loan,Other,Personal,326500,3.99,240.0,5400.0,25-34,1
Business Loan,Home Purchase,Business,656500,3.99,360.0,8160.0,25-34,1
Personal Loan,Home Purchase,Personal,506500,3.99,360.0,9180.0,45-54,1
Mortgage Loan,Other,Personal,246500,3.75,360.0,5760.0,35-44,0
Personal Loan,Business Expansion,Personal,186500,3.99,360.0,5640.0,65-74,1
Personal Loan,Business Expansion,Personal,56500,4.5,360.0,7980.0,65-74,0
Personal Loan,Other,Personal,486500,4.75,360.0,9840.0,65-74,0
Personal Loan,Business Expansion,Personal,346500,3.99,360.0,11460.0,>74,0
Personal Loan,Business Expansion,Personal,136500,3.875,180.0,3660.0,55-64,0
Mortgage Loan,Home Purchase,Personal,586500,3.5,360.0,7140.0,35-44,0
Personal Loan,Other,Personal,336500,3.99,360.0,7440.0,55-64,1
Business Loan,Business Expansion,Business,76500,4.75,300.0,2940.0,35-44,0
Mortgage Loan,Other,Personal,286500,3.99,360.0,5760.0,65-74,1
Personal Loan,Other,Personal,136500,3.625,180.0,3000.0,55-64,0
Personal Loan,Home Purchase,Personal,486500,3.99,360.0,14640.0,45-54,0
Personal Loan,Home Purchase,Personal,416500,3.75,360.0,3840.0,25-34,0
Personal Loan,Home Purchase,Personal,186500,4.875,360.0,2880.0,55-64,0
Personal Loan,Other,Personal,186500,3.99,360.0,5700.0,65-74,1
Business Loan,Home Purchase,Business,316500,3.375,360.0,7680.0,45-54,0
Business Loan,Other,Business,346500,3.99,360.0,5760.0,35-44,1
Personal Loan,Other,Personal,326500,3.25,348.0,6840.0,55-64,0
Personal Loan,Business Expansion,Personal,256500,4.125,180.0,10260.0,55-64,0
Personal Loan,Home Purchase,Personal,226500,3.99,360.0,3120.0,<25,1
Personal Loan,Home Purchase,Personal,226500,4.75,360.0,17340.0,55-64,0
Personal Loan,Home Purchase,Personal,906500,4.375,360.0,12180.0,35-44,0
Personal Loan,Other,Personal,386500,3.5,360.0,5520.0,45-54,0
Business Loan,Home Purchase,Business,496500,3.99,360.0,6060.0,25-34,1
Personal Loan,Business Expansion,Personal,106500,3.99,180.0,5220.0,45-54,1
Personal Loan,Business Expansion,Personal,186500,3.99,360.0,2640.0,45-54,0
Personal Loan,Other,Personal,246500,4.875,360.0,4920.0,55-64,0
Personal Loan,Home Purchase,Personal,126500,3.99,324.0,4800.0,>74,1
Business Loan,Home Purchase,Business,226500,3.875,360.0,4200.0,45-54,0
Mortgage Loan,Other,Personal,416500,2.99,360.0,5760.0,45-54,0
Personal Loan,Other,Personal,146500,4.125,360.0,8160.0,45-54,0
Business Loan,Other,Business,216500,3.99,360.0,4440.0,55-64,1
Personal Loan,Other,Personal,396500,3.375,360.0,11400.0,55-64,0
Personal Loan,Home Purchase,Personal,246500,4.75,360.0,3240.0,25-34,0
Mortgage Loan,Business Expansion,Personal,316500,4.25,360.0,3300.0,65-74,0
Personal Loan,Home Purchase,Personal,296500,4.25,360.0,3840.0,45-54,0
Mortgage Loan,Other,Personal,436500,3.99,360.0,5760.0,65-74,0
Personal Loan,Business Expansion,Personal,226500,3.99,360.0,6600.0,35-44,1
Mortgage Loan,Other,Personal,506500,3.125,360.0,5760.0,35-44,0
Personal Loan,Other,Personal,296500,3.625,360.0,8400.0,35-44,0
Personal Loan,Other,Personal,386500,3.625,360.0,5820.0,25-34,0
Personal Loan,Business Expansion,Personal,106500,4.5,120.0,6540.0,55-64,0
Personal Loan,Other,Personal,706500,4.0,360.0,15240.0,45-54,0
Personal Loan,Business Expansion,Personal,176500,3.75,180.0,5280.0,45-54,0
Personal Loan,Home Purchase,Personal,496500,5.19,360.0,8280.0,35-44,0
Personal Loan,Business Expansion,Personal,606500,4.875,360.0,16740.0,65-74,0
Business Loan,Home Purchase,Business,126500,4.49,360.0,2220.0,65-74,0
Business Loan,Business Expansion,Business,156500,3.375,180.0,3780.0,55-64,0
Personal Loan,Other,Personal,196500,3.99,360.0,5580.0,55-64,1
Personal Loan,Business Expansion,Personal,256500,4.5,360.0,11760.0,45-54,0
Personal Loan,Business Expansion,Personal,1376500,3.99,360.0,54300.0,55-64,1
Personal Loan,Other,Personal,376500,3.875,360.0,4680.0,35-44,0
Personal Loan,Other,Personal,296500,4.375,360.0,4140.0,65-74,0
Personal Loan,Other,Personal,566500,3.99,360.0,8580.0,45-54,1
Personal Loan,Home Purchase,Personal,416500,3.875,360.0,10020.0,35-44,0
Personal Loan,Other,Personal,476500,4.125,360.0,9000.0,45-54,0
Mortgage Loan,Other,Personal,686500,3.99,360.0,0.0,45-54,1
Personal Loan,Business Expansion,Personal,556500,3.99,240.0,25680.0,45-54,1
Personal Loan,Business Expansion,Personal,266500,4.875,360.0,8580.0,55-64,0
Personal Loan,Home Purchase,Personal,406500,3.75,360.0,7080.0,35-44,0
Mortgage Loan,Other,Personal,256500,2.875,360.0,5760.0,65-74,0
Mortgage Loan,Home Purchase,Personal,236500,5.125,360.0,4920.0,65-74,0
Business Loan,Business Expansion,Business,656500,3.99,360.0,8640.0,35-44,1
Personal Loan,Business Expansion,Personal,156500,4.625,360.0,3960.0,45-54,0
Personal Loan,Home Purchase,Personal,406500,4.0,360.0,3600.0,25-34,0
Personal Loan,Business Expansion,Personal,476500,4.875,360.0,6180.0,>74,0
Personal Loan,Other,Personal,676500,3.99,360.0,10080.0,55-64,0
Business Loan,Other,Business,206500,3.375,360.0,5760.0,35-44,0
Business Loan,Business Expansion,Business,126500,3.99,240.0,2520.0,55-64,0
Personal Loan,Business Expansion,Personal,366500,4.56,360.0,10200.0,55-64,0
Personal Loan,Other,Personal,156500,3.99,180.0,2520.0,>74,1
Personal Loan,Business Expansion,Personal,276500,3.99,360.0,7980.0,65-74,0
Business Loan,Home Purchase,Business,636500,3.99,360.0,11640.0,45-54,1
Personal Loan,Business Expansion,Personal,486500,3.625,360.0,13560.0,65-74,0
Mortgage Loan,Other,Personal,266500,3.125,360.0,5760.0,65-74,0
Personal Loan,Business Expansion,Personal,356500,3.625,360.0,4800.0,65-74,0
Personal Loan,Other,Personal,396500,3.625,360.0,26100.0,55-64,0
Personal Loan,Other,Personal,486500,3.375,360.0,9000.0,35-44,0
Personal Loan,Other,Personal,716500,3.99,360.0,14220.0,>74,0
Personal Loan,Business Expansion,Personal,596500,4.125,360.0,10800.0,45-54,0
Personal Loan,Home Purchase,Personal,636500,4.125,360.0,19620.0,45-54,0
Business Loan,Other,Business,116500,3.99,360.0,2640.0,45-54,1
Personal Loan,Home Purchase,Personal,376500,3.75,360.0,11880.0,45-54,0
Personal Loan,Business Expansion,Personal,356500,4.375,240.0,6660.0,65-74,0
Business Loan,Other,Business,86500,3.99,360.0,3240.0,45-54,1
Personal Loan,Other,Personal,226500,3.5,324.0,3360.0,25-34,0
Business Loan,Education,Business,66500,4.125,360.0,840.0,35-44,0
Personal Loan,Home Purchase,Personal,556500,4.5,360.0,7020.0,55-64,0
Business Loan,Other,Business,376500,3.99,360.0,5760.0,35-44,1
Business Loan,Home Purchase,Business,106500,3.99,360.0,1500.0,45-54,1
Personal Loan,Other,Personal,316500,4.5,360.0,9180.0,45-54,0
Business Loan,Business Expansion,Business,116500,3.625,360.0,3960.0,45-54,0
Personal Loan,Education,Personal,86500,3.7,360.0,4440.0,65-74,0
Mortgage Loan,Home Purchase,Personal,326500,4.25,360.0,6480.0,25-34,0
Personal Loan,Other,Personal,176500,4.5,360.0,4140.0,<25,0
Business Loan,Home Purchase,Business,156500,3.99,360.0,1860.0,45-54,1
Business Loan,Business Expansion,Business,346500,3.99,360.0,8280.0,45-54,0
Personal Loan,Other,Personal,616500,2.99,180.0,9900.0,25-34,0
Personal Loan,Home Purchase,Personal,456500,3.99,180.0,78120.0,55-64,1
Business Loan,Business Expansion,Business,96500,4.625,360.0,3180.0,55-64,0
Personal Loan,Other,Personal,256500,3.75,360.0,3540.0,25-34,0
Business Loan,Home Purchase,Business,146500,4.125,360.0,3120.0,25-34,0
Personal Loan,Business Expansion,Personal,316500,4.5,360.0,6960.0,35-44,0
Business Loan,Home Purchase,Business,76500,3.99,360.0,3180.0,25-34,1
Mortgage Loan,Other,Personal,406500,3.75,360.0,5760.0,25-34,0
Personal Loan,Home Purchase,Personal,116500,3.99,360.0,1980.0,55-64,1
Personal Loan,Home Purchase,Personal,136500,3.99,180.0,18420.0,25-34,1
Personal Loan,Education,Personal,206500,3.99,360.0,2940.0,>74,1
Business Loan,Business Expansion,Business,306500,3.99,360.0,6840.0,45-54,1
Personal Loan,Education,Personal,166500,4.25,360.0,1740.0,55-64,0
Business Loan,Other,Business,216500,3.75,360.0,5760.0,25-34,0
Personal Loan,Home Purchase,Personal,306500,4.56,360.0,8280.0,25-34,0
Personal Loan,Other,Personal,826500,4.25,360.0,13140.0,45-54,0
Personal Loan,Home Purchase,Personal,136500,3.5,360.0,2220.0,25-34,0
Personal Loan,Other,Personal,346500,4.875,360.0,18240.0,45-54,0
Personal Loan,Other,Personal,386500,3.625,180.0,8760.0,35-44,0
Personal Loan,Other,Personal,706500,3.99,180.0,15840.0,45-54,1
Personal Loan,Business Expansion,Personal,276500,3.875,360.0,5880.0,65-74,0
Business Loan,Education,Business,26500,4.75,360.0,1260.0,55-64,0
Mortgage Loan,Other,Personal,276500,2.75,360.0,5760.0,55-64,0
Personal Loan,Business Expansion,Personal,186500,4.99,360.0,2100.0,55-64,0
Personal Loan,Other,Personal,366500,3.99,360.0,0.0,45-54,1
Personal Loan,Other,Personal,666500,4.375,360.0,18000.0,55-64,0
Personal Loan,Home Purchase,Personal,226500,4.75,360.0,4320.0,35-44,0
Personal Loan,Other,Personal,106500,3.99,240.0,1680.0,45-54,1
Business Loan,Other,Business,426500,3.375,360.0,5760.0,35-44,0
Personal Loan,Other,Personal,216500,4.25,360.0,4560.0,25-34,0
Mortgage Loan,Home Purchase,Personal,146500,3.625,360.0,2460.0,<25,0
Personal Loan,Other,Personal,676500,3.625,360.0,9060.0,55-64,0
Business Loan,Business Expansion,Business,316500,3.99,300.0,8220.0,35-44,1
Personal Loan,Business Expansion,Personal,76500,4.75,180.0,7380.0,55-64,0
Personal Loan,Business Expansion,Personal,446500,4.875,180.0,7440.0,55-64,0
Personal Loan,Education,Personal,256500,4.875,180.0,10800.0,25-34,0
Mortgage Loan,Business Expansion,Personal,406500,3.99,360.0,7560.0,45-54,1
Personal Loan,Other,Personal,196500,3.99,360.0,7500.0,>74,1
Personal Loan,Business Expansion,Personal,266500,3.99,360.0,1380.0,55-64,1
Personal Loan,Other,Personal,196500,3.875,360.0,4020.0,>74,0
Personal Loan,Other,Personal,56500,3.99,180.0,2220.0,55-64,1
Personal Loan,Business Expansion,Personal,546500,3.99,360.0,10440.0,45-54,1
Personal Loan,Other,Personal,336500,3.25,324.0,4800.0,25-34,0
Personal Loan,Business Expansion,Personal,986500,4.375,360.0,12240.0,45-54,0
Business Loan,Home Purchase,Business,566500,3.375,360.0,7620.0,25-34,0
Personal Loan,Other,Personal,526500,3.75,360.0,9660.0,35-44,0
Personal Loan,Business Expansion,Personal,476500,3.99,360.0,6480.0,45-54,1
Business Loan,Business Expansion,Business,186500,3.5,360.0,4260.0,55-64,0
Personal Loan,Business Expansion,Personal,316500,4.75,360.0,5280.0,55-64,0
Personal Loan,Business Expansion,Personal,276500,4.125,360.0,10740.0,35-44,0
Business Loan,Other,Business,606500,3.625,360.0,5760.0,35-44,0
Personal Loan,Business Expansion,Personal,476500,3.99,360.0,8160.0,25-34,0
Personal Loan,Other,Personal,526500,4.375,360.0,9960.0,25-34,0
Personal Loan,Other,Personal,566500,3.625,360.0,13500.0,35-44,0
Personal Loan,Business Expansion,Personal,236500,4.5,360.0,5400.0,65-74,0
Personal Loan,Business Expansion,Personal,256500,4.875,360.0,7320.0,45-54,0
Personal Loan,Home Purchase,Personal,586500,3.99,360.0,8220.0,65-74,1
Personal Loan,Business Expansion,Personal,316500,3.99,360.0,5640.0,>74,1
Personal Loan,Home Purchase,Personal,156500,4.5,360.0,3600.0,45-54,0
Personal Loan,Other,Personal,436500,3.99,360.0,6600.0,35-44,0
Personal Loan,Business Expansion,Personal,486500,3.99,360.0,16080.0,55-64,0
Personal Loan,Business Expansion,Personal,356500,3.99,360.0,5100.0,35-44,1
Personal Loan,Other,Personal,266500,3.99,360.0,2700.0,45-54,1
Personal Loan,Business Expansion,Personal,186500,4.25,360.0,2280.0,65-74,0
Personal Loan,Business Expansion,Personal,126500,4.875,240.0,5340.0,45-54,0
Personal Loan,Business Expansion,Personal,276500,3.99,360.0,4680.0,65-74,1
Personal Loan,Home Purchase,Personal,106500,4.25,360.0,2460.0,65-74,0
Personal Loan,Other,Personal,386500,3.99,360.0,7320.0,35-44,0
Personal Loan,Business Expansion,Personal,376500,4.75,360.0,6720.0,25-34,0
Personal Loan,Business Expansion,Personal,206500,3.875,360.0,2760.0,55-64,0
Personal Loan,Other,Personal,286500,3.99,360.0,9660.0,35-44,1
Personal Loan,Education,Personal,486500,3.625,360.0,5040.0,25-34,0
Personal Loan,Other,Personal,406500,4.375,360.0,5580.0,25-34,0
Personal Loan,Home Purchase,Personal,146500,3.99,180.0,4620.0,45-54,1
Business Loan,Business Expansion,Business,156500,3.75,360.0,5460.0,55-64,0
Personal Loan,Other,Personal,476500,4.75,360.0,6600.0,35-44,0
Personal Loan,Other,Personal,86500,3.99,360.0,2220.0,45-54,1
Personal Loan,Business Expansion,Personal,246500,4.625,360.0,2580.0,>74,0
Mortgage Loan,Business Expansion,Personal,596500,3.625,360.0,5100.0,65-74,0
Personal Loan,Other,Personal,556500,3.99,360.0,8100.0,55-64,0
Personal Loan,Home Purchase,Personal,1226500,4.99,360.0,16260.0,45-54,0
Personal Loan,Home Purchase,Personal,266500,3.99,360.0,8880.0,35-44,1
Business Loan,Home Purchase,Business,196500,3.75,324.0,5760.0,45-54,1
Personal Loan,Business Expansion,Personal,416500,3.625,360.0,5100.0,25-34,0
Personal Loan,Business Expansion,Personal,206500,3.99,360.0,2580.0,55-64,1
Personal Loan,Business Expansion,Personal,106500,3.99,360.0,8100.0,35-44,1
Personal Loan,Business Expansion,Personal,386500,3.625,360.0,12120.0,45-54,0
Personal Loan,Home Purchase,Personal,246500,4.125,360.0,3660.0,25-34,0
Business Loan,Business Expansion,Business,266500,3.99,360.0,4260.0,25-34,0
Personal Loan,Home Purchase,Personal,336500,3.875,360.0,5580.0,35-44,0
Business Loan,Business Expansion,Business,126500,3.99,360.0,3000.0,45-54,1
Personal Loan,Home Purchase,Personal,206500,3.99,360.0,5220.0,65-74,0
Personal Loan,Home Purchase,Personal,66500,3.99,360.0,1860.0,<25,1
Personal Loan,Business Expansion,Personal,476500,3.99,360.0,9180.0,45-54,1
Personal Loan,Other,Personal,376500,4.375,360.0,8100.0,45-54,0
Personal Loan,Home Purchase,Personal,256500,3.875,360.0,6840.0,35-44,0
Personal Loan,Other,Personal,316500,3.875,240.0,9000.0,55-64,0
Personal Loan,Home Purchase,Personal,426500,3.99,300.0,9360.0,25-34,1
Personal Loan,Other,Personal,216500,3.875,360.0,4560.0,55-64,0
Personal Loan,Other,Personal,436500,3.5,360.0,4620.0,35-44,0
Personal Loan,Business Expansion,Personal,126500,4.99,360.0,4260.0,55-64,0
Personal Loan,Other,Personal,96500,3.99,96.0,4680.0,65-74,0
Personal Loan,Education,Personal,406500,3.99,360.0,6960.0,25-34,0
Personal Loan,Home Purchase,Personal,336500,3.99,360.0,3660.0,25-34,1
Personal Loan,Other,Personal,426500,3.5,360.0,4440.0,35-44,0
Personal Loan,Business Expansion,Personal,416500,3.875,240.0,9120.0,35-44,0
Business Loan,Business Expansion,Business,186500,4.75,360.0,4920.0,25-34,0
Personal Loan,Business Expansion,Personal,606500,4.5,360.0,12060.0,45-54,0
Personal Loan,Other,Personal,446500,4.0,360.0,9180.0,55-64,0
Personal Loan,Other,Personal,156500,3.99,360.0,4860.0,35-44,1
Personal Loan,Home Purchase,Personal,256500,3.5,360.0,2640.0,35-44,0
Personal Loan,Other,Personal,336500,3.25,180.0,27000.0,25-34,0
Personal Loan,Business Expansion,Personal,406500,4.75,360.0,7920.0,55-64,0
Mortgage Loan,Home Purchase,Personal,266500,3.99,360.0,3840.0,55-64,1
Mortgage Loan,Home Purchase,Personal,266500,4.375,360.0,3840.0,25-34,0
Personal Loan,Business Expansion,Personal,156500,3.875,240.0,5880.0,45-54,0
Personal Loan,Other,Personal,186500,3.99,360.0,3180.0,55-64,1
Business Loan,Other,Business,636500,3.99,360.0,0.0,45-54,1
Personal Loan,Other,Personal,286500,3.99,360.0,4140.0,65-74,1
Personal Loan,Home Purchase,Personal,266500,3.99,360.0,3480.0,35-44,0
Personal Loan,Business Expansion,Personal,266500,3.625,360.0,3660.0,35-44,0
Personal Loan,Other,Personal,226500,3.5,300.0,4320.0,45-54,0
Mortgage Loan,Other,Personal,146500,2.75,360.0,5760.0,45-54,0
Business Loan,Home Purchase,Business,166500,5.25,360.0,2100.0,65-74,0
Mortgage Loan,Home Purchase,Personal,76500,4.125,360.0,1140.0,55-64,0
Personal Loan,Home Purchase,Personal,336500,3.99,360.0,7200.0,45-54,1
Business Loan,Business Expansion,Business,266500,3.99,360.0,5460.0,55-64,0
Business Loan,Business Expansion,Business,186500,4.49,360.0,3420.0,65-74,0
Mortgage Loan,Home Purchase,Personal,506500,3.49,360.0,6360.0,55-64,0
Personal Loan,Business Expansion,Personal,286500,3.99,360.0,5040.0,55-64,1
Personal Loan,Home Purchase,Personal,566500,5.0,360.0,7860.0,25-34,0
Personal Loan,Other,Personal,366500,3.99,360.0,6060.0,65-74,0
Personal Loan,Other,Personal,426500,3.5,360.0,4800.0,25-34,0
Personal Loan,Business Expansion,Personal,296500,4.0,360.0,4440.0,35-44,0
Mortgage Loan,Business Expansion,Personal,676500,3.49,360.0,7380.0,65-74,0
Personal Loan,Other,Personal,526500,3.5,360.0,7200.0,35-44,0
Personal Loan,Business Expansion,Personal,256500,4.5,360.0,5100.0,35-44,0
Personal Loan,Home Purchase,Personal,266500,4.25,324.0,8340.0,35-44,0
Personal Loan,Business Expansion,Personal,216500,4.99,360.0,4980.0,45-54,0
Personal Loan,Business Expansion,Personal,156500,4.625,360.0,4080.0,65-74,0
Personal Loan,Other,Personal,726500,3.99,360.0,9660.0,35-44,1
Personal Loan,Home Purchase,Personal,486500,3.75,360.0,17640.0,25-34,0
Business Loan,Business Expansion,Business,256500,3.99,360.0,6720.0,55-64,1
Personal Loan,Business Expansion,Personal,396500,3.99,300.0,5040.0,35-44,1
Personal Loan,Home Purchase,Personal,236500,3.99,360.0,3240.0,55-64,1
Personal Loan,Other,Personal,236500,3.99,360.0,5280.0,65-74,1
Personal Loan,Home Purchase,Personal,1486500,3.625,360.0,23760.0,35-44,0
Personal Loan,Other,Personal,156500,3.875,240.0,4620.0,55-64,0
Personal Loan,Business Expansion,Personal,86500,4.25,180.0,1620.0,65-74,0
Personal Loan,Business Expansion,Personal,1416500,3.625,360.0,24060.0,45-54,0
Mortgage Loan,Other,Personal,396500,2.99,360.0,5760.0,35-44,0
Personal Loan,Other,Personal,486500,3.0,180.0,12060.0,35-44,0
Personal Loan,Business Expansion,Personal,216500,3.99,360.0,3840.0,55-64,1
Personal Loan,Other,Personal,266500,3.99,300.0,7200.0,35-44,0
Personal Loan,Other,Personal,466500,4.0,360.0,5760.0,35-44,0
Personal Loan,Business Expansion,Personal,156500,3.75,240.0,3540.0,35-44,0
Business Loan,Business Expansion,Business,606500,3.99,360.0,7440.0,55-64,1
Personal Loan,Home Purchase,Personal,246500,3.99,360.0,8040.0,45-54,1
Personal Loan,Other,Personal,316500,3.25,240.0,5460.0,45-54,0
Personal Loan,Home Purchase,Personal,556500,4.75,360.0,71220.0,55-64,0
Mortgage Loan,Business Expansion,Personal,266500,3.99,360.0,3060.0,65-74,1
Personal Loan,Other,Personal,306500,4.5,360.0,7140.0,45-54,0
Personal Loan,Business Expansion,Personal,456500,3.99,192.0,9300.0,45-54,1
Business Loan,Business Expansion,Business,116500,3.99,360.0,2520.0,55-64,1
Personal Loan,Business Expansion,Personal,206500,3.99,360.0,5160.0,55-64,1
Personal Loan,Business Expansion,Personal,556500,3.99,360.0,5820.0,55-64,1
Personal Loan,Other,Personal,486500,3.99,180.0,8700.0,45-54,1
Business Loan,Other,Business,186500,4.25,360.0,5760.0,25-34,0
Personal Loan,Other,Personal,266500,3.99,360.0,3120.0,65-74,1
Business Loan,Business Expansion,Business,136500,3.5,360.0,2640.0,25-34,0
Personal Loan,Other,Personal,536500,4.56,360.0,6720.0,25-34,0
Personal Loan,Other,Personal,186500,3.75,180.0,8820.0,55-64,0
Personal Loan,Business Expansion,Personal,796500,3.99,360.0,8880.0,65-74,1
Personal Loan,Other,Personal,336500,3.5,360.0,3060.0,55-64,0
Business Loan,Business Expansion,Business,196500,3.99,360.0,1620.0,45-54,1
Personal Loan,Business Expansion,Personal,536500,3.99,360.0,6000.0,65-74,1
Personal Loan,Business Expansion,Personal,166500,3.99,360.0,2520.0,>74,0
Personal Loan,Other,Personal,336500,3.99,360.0,5100.0,25-34,1
Mortgage Loan,Other,Personal,136500,3.99,360.0,5760.0,35-44,0
Business Loan,Business Expansion,Business,106500,3.99,360.0,1860.0,35-44,0
